Order_ID,Order_Date,Channel,Store_Location,Product_ID,Product_Name,Category,Unit_Price,Quantity_Sold,Sales_Amount,Inventory_Level,Reorder_Level,Customer_Segment,Payment_Method,Region
ORD0001,06-07-2025,Online,Pune,P1003,Headphones,Electronics,3000,5,15000,48,27,Home Office,Cash,East
ORD0002,31-12-2025,Online,Pune,P1001,Laptop,Electronics,60000,2,120000,136,41,Consumer,UPI,West
ORD0003,13-07-2025,Online,Bangalore,P1009,Watch,Accessories,5000,2,10000,105,40,Home Office,Cash,South
ORD0004,15-11-2025,Online,Hyderabad,P1004,Office Chair,Furniture,7000,2,14000,217,44,Corporate,Debit Card,West
ORD0005,29-06-2025,Online,Hyderabad,P1008,Sneakers,Footwear,3500,3,10500,70,13,Consumer,Debit Card,West
ORD0006,17-08-2025,Store,Pune,P1008,Sneakers,Footwear,3500,3,10500,110,36,Home Office,Debit Card,West
ORD0007,27-06-2025,Marketplace,Pune,P1004,Office Chair,Furniture,7000,4,28000,458,19,Corporate,Credit Card,South
ORD0008,11-02-2025,Online,Hyderabad,P1008,Sneakers,Footwear,3500,5,17500,238,21,Consumer,UPI,West
ORD0009,29-01-2025,Marketplace,Hyderabad,P1002,Smartphone,Electronics,30000,5,150000,243,22,Corporate,Net Banking,North
ORD0010,22-04-2025,Store,Delhi,P1007,Jeans,Clothing,2000,1,2000,257,18,Consumer,Credit Card,South
ORD0011,14-09-2025,Store,Bangalore,P1001,Laptop,Electronics,60000,1,60000,438,37,Home Office,Debit Card,West
ORD0012,27-06-2025,Mobile App,Bangalore,P1010,Backpack,Accessories,1500,2,3000,97,29,Consumer,Net Banking,West
ORD0013,18-10-2025,Marketplace,Mumbai,P1005,Desk,Furniture,12000,4,48000,228,40,Home Office,Debit Card,West
ORD0014,17-09-2025,Marketplace,Delhi,P1006,T-Shirt,Clothing,800,2,1600,413,10,Corporate,UPI,South
ORD0015,12-07-2025,Marketplace,Delhi,P1003,Headphones,Electronics,3000,2,6000,344,11,Home Office,Credit Card,North
ORD0016,23-02-2025,Online,Pune,P1002,Smartphone,Electronics,30000,4,120000,192,23,Consumer,Net Banking,East
ORD0017,25-02-2025,Mobile App,Mumbai,P1004,Office Chair,Furniture,7000,1,7000,106,24,Consumer,Debit Card,East
ORD0018,18-09-2025,Marketplace,Mumbai,P1002,Smartphone,Electronics,30000,3,90000,291,44,Consumer,Credit Card,East
ORD0019,17-10-2025,Mobile App,Pune,P1002,Smartphone,Electronics,30000,4,120000,131,15,Home Office,Debit Card,North
ORD0020,23-11-2025,Online,Bangalore,P1004,Office Chair,Furniture,7000,4,28000,244,18,Home Office,Credit Card,South
ORD0021,27-01-2025,Mobile App,Pune,P1003,Headphones,Electronics,3000,4,12000,206,30,Corporate,UPI,North
