Order_ID,Order_Date,Channel,Store_Location,Product_ID,Product_Name,Category,Unit_Price,Quantity_Sold,Sales_Amount,Inventory_Level,Reorder_Level,Customer_Segment,Payment_Method,Region
ORD0001,2025-07-06,Online,Pune,P1003,Headphones,Electronics,3000,5,15000,48,27,Home Office,Cash,East
ORD0002,2025-12-31,Online,Pune,P1001,Laptop,Electronics,60000,2,120000,136,41,Consumer,UPI,West
ORD0003,2025-07-13,Online,Bangalore,P1009,Watch,Accessories,5000,2,10000,105,40,Home Office,Cash,South
ORD0004,2025-11-15,Online,Hyderabad,P1004,Office Chair,Furniture,7000,2,14000,217,44,Corporate,Debit Card,West
ORD0005,2025-06-29,Online,Hyderabad,P1008,Sneakers,Footwear,3500,3,10500,70,13,Consumer,Debit Card,West
ORD0006,2025-08-17,Store,Pune,P1008,Sneakers,Footwear,3500,3,10500,110,36,Home Office,Debit Card,West
ORD0007,2025-06-27,Marketplace,Pune,P1004,Office Chair,Furniture,7000,4,28000,458,19,Corporate,Credit Card,South
ORD0008,2025-02-11,Online,Hyderabad,P1008,Sneakers,Footwear,3500,5,17500,238,21,Consumer,UPI,West
ORD0009,2025-01-29,Marketplace,Hyderabad,P1002,Smartphone,Electronics,30000,5,150000,243,22,Corporate,Net Banking,North
ORD0010,2025-04-22,Store,Delhi,P1007,Jeans,Clothing,2000,1,2000,257,18,Consumer,Credit Card,South
ORD0011,2025-09-14,Store,Bangalore,P1001,Laptop,Electronics,60000,1,60000,438,37,Home Office,Debit Card,West
ORD0012,2025-06-27,Mobile App,Bangalore,P1010,Backpack,Accessories,1500,2,3000,97,29,Consumer,Net Banking,West
ORD0013,2025-10-18,Marketplace,Mumbai,P1005,Desk,Furniture,12000,4,48000,228,40,Home Office,Debit Card,West
ORD0014,2025-09-17,Marketplace,Delhi,P1006,T-Shirt,Clothing,800,2,1600,413,10,Corporate,UPI,South
ORD0015,2025-07-12,Marketplace,Delhi,P1003,Headphones,Electronics,3000,2,6000,344,11,Home Office,Credit Card,North
ORD0016,2025-02-23,Online,Pune,P1002,Smartphone,Electronics,30000,4,120000,192,23,Consumer,Net Banking,East
ORD0017,2025-02-25,Mobile App,Mumbai,P1004,Office Chair,Furniture,7000,1,7000,106,24,Consumer,Debit Card,East
ORD0018,2025-09-18,Marketplace,Mumbai,P1002,Smartphone,Electronics,30000,3,90000,291,44,Consumer,Credit Card,East
